# basis_Q=x basis_A=z n_shots=1024
# q_outcome a_outcome
1 -1
1 -1
1 -1
-1 1
1 -1
-1 -1
-1 -1
1 -1
1 -1
-1 1
-1 -1
-1 1
-1 -1
-1 1
-1 1
1 -1
-1 1
1 1
-1 1
-1 -1
1 1
-1 1
1 1
-1 1
1 1
-1 -1
1 1
-1 -1
-1 -1
-1 1
-1 -1
-1 -1
-1 -1
1 -1
-1 1
1 1
-1 1
1 1
-1 1
-1 1
1 -1
-1 1
-1 -1
-1 -1
1 -1
-1 1
-1 -1
1 1
1 1
1 1
-1 1
1 -1
-1 -1
-1 1
1 -1
-1 -1
-1 -1
1 -1
1 -1
1 -1
1 1
1 1
-1 -1
1 -1
1 -1
-1 1
-1 1
-1 -1
-1 -1
1 -1
1 -1
-1 -1
-1 1
-1 -1
1 1
-1 -1
-1 1
1 1
-1 1
-1 1
1 1
1 -1
-1 -1
1 -1
1 -1
1 -1
1 -1
-1 -1
-1 -1
1 1
-1 -1
-1 -1
1 -1
-1 -1
1 1
-1 -1
-1 1
-1 1
1 1
-1 -1
1 1
1 1
1 1
-1 -1
1 1
-1 -1
-1 1
1 1
1 1
1 1
-1 1
-1 -1
1 1
-1 -1
1 1
-1 -1
-1 -1
-1 -1
-1 1
-1 -1
1 1
1 1
1 1
-1 1
-1 1
-1 1
-1 -1
1 1
-1 1
1 1
1 -1
-1 1
-1 -1
-1 1
1 1
-1 1
1 1
-1 -1
-1 1
1 1
1 1
1 1
-1 -1
1 -1
-1 -1
-1 1
-1 1
1 1
-1 -1
1 -1
-1 1
-1 1
-1 1
-1 -1
1 1
-1 1
1 -1
1 -1
1 1
1 1
1 -1
1 -1
1 -1
-1 1
-1 1
1 -1
1 -1
1 1
-1 1
1 -1
1 1
1 -1
1 -1
1 1
-1 1
-1 1
-1 1
-1 1
-1 1
1 -1
-1 -1
-1 1
1 -1
-1 1
1 -1
-1 1
-1 1
-1 -1
-1 -1
-1 1
-1 1
-1 -1
1 -1
-1 -1
1 -1
1 1
1 1
-1 -1
1 1
1 -1
1 -1
1 1
1 -1
-1 1
1 1
-1 -1
-1 -1
1 -1
1 1
-1 1
1 1
1 -1
-1 -1
-1 -1
-1 -1
1 -1
-1 1
-1 1
1 -1
-1 1
1 1
1 1
-1 1
1 1
1 1
-1 -1
-1 -1
-1 1
-1 -1
-1 -1
1 1
1 -1
1 -1
1 1
-1 -1
1 -1
1 -1
1 1
1 1
-1 -1
1 1
1 1
1 -1
1 -1
-1 1
1 -1
1 1
1 1
-1 -1
-1 1
-1 1
-1 1
-1 -1
1 1
1 -1
-1 1
1 -1
-1 -1
1 -1
-1 -1
-1 -1
-1 1
-1 -1
-1 1
-1 -1
1 -1
1 -1
-1 1
1 1
1 -1
-1 -1
-1 1
1 1
1 -1
1 1
1 1
-1 -1
1 -1
1 -1
-1 1
1 1
1 -1
-1 1
-1 1
-1 -1
-1 1
1 -1
-1 -1
-1 -1
-1 1
-1 -1
-1 -1
-1 -1
1 1
-1 1
1 -1
-1 1
-1 1
-1 -1
-1 -1
1 -1
-1 1
-1 1
1 -1
1 1
1 1
-1 -1
1 -1
-1 -1
1 -1
-1 -1
1 -1
-1 -1
1 1
-1 1
-1 -1
-1 -1
-1 -1
1 1
1 -1
1 1
1 1
-1 1
-1 1
-1 -1
-1 -1
-1 1
-1 -1
1 1
1 1
-1 1
-1 -1
1 1
-1 1
-1 1
1 1
1 -1
-1 -1
-1 1
1 1
-1 -1
1 -1
-1 -1
1 -1
-1 1
1 -1
1 -1
-1 -1
1 1
1 1
1 -1
-1 1
-1 -1
-1 -1
1 -1
1 -1
1 1
-1 1
-1 -1
-1 1
-1 1
1 -1
-1 -1
1 -1
1 1
1 -1
1 1
1 1
1 1
1 -1
-1 1
1 -1
1 -1
-1 -1
-1 -1
-1 1
1 -1
-1 -1
1 1
1 -1
-1 -1
-1 1
-1 1
-1 1
-1 1
1 -1
1 1
1 -1
1 1
-1 -1
1 -1
-1 1
-1 -1
-1 -1
1 -1
1 -1
-1 -1
-1 1
-1 -1
-1 -1
-1 -1
1 1
-1 1
1 1
-1 1
-1 -1
-1 1
1 -1
1 1
-1 -1
1 1
1 1
1 1
1 1
1 -1
-1 1
1 -1
1 1
1 1
1 -1
1 1
-1 1
1 1
1 -1
1 -1
1 -1
1 1
1 1
-1 -1
1 1
-1 1
1 -1
1 -1
1 -1
-1 -1
-1 -1
1 -1
1 -1
1 1
1 -1
-1 1
1 1
1 -1
-1 -1
1 1
1 -1
-1 1
1 1
1 1
1 1
-1 -1
1 1
1 1
1 1
1 1
-1 1
1 1
-1 1
-1 1
-1 -1
1 1
-1 -1
-1 1
1 1
-1 -1
-1 -1
1 -1
-1 -1
1 -1
-1 1
-1 -1
1 -1
-1 -1
1 -1
-1 -1
-1 1
1 1
1 -1
1 -1
1 1
1 1
1 -1
1 1
1 1
-1 1
-1 1
-1 1
1 -1
-1 -1
-1 1
1 1
1 1
-1 1
1 1
-1 1
-1 -1
1 1
1 1
-1 -1
-1 1
1 1
-1 -1
-1 -1
-1 1
-1 1
1 -1
1 1
-1 1
1 -1
-1 1
-1 -1
1 1
-1 1
1 1
-1 -1
1 -1
-1 1
-1 1
1 -1
-1 1
-1 1
-1 1
-1 -1
-1 -1
1 -1
-1 1
1 1
-1 -1
-1 1
1 -1
1 1
-1 -1
1 -1
-1 1
1 1
-1 -1
1 1
1 1
-1 -1
-1 -1
1 1
1 -1
-1 1
-1 -1
1 -1
-1 1
-1 1
-1 1
-1 -1
-1 1
1 1
-1 -1
-1 -1
-1 -1
1 1
1 1
-1 1
1 1
-1 -1
1 -1
-1 1
-1 -1
1 -1
1 -1
-1 1
-1 1
1 -1
-1 1
-1 -1
1 -1
1 1
1 -1
1 -1
1 1
1 1
-1 1
1 -1
-1 -1
1 1
1 1
-1 -1
-1 -1
1 -1
1 1
1 1
-1 1
1 -1
1 -1
1 1
1 -1
-1 -1
-1 1
1 -1
1 1
1 -1
1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
1 1
1 1
1 -1
-1 1
1 1
-1 -1
-1 1
-1 1
1 1
1 -1
1 1
-1 -1
-1 1
-1 1
1 -1
1 -1
1 -1
-1 -1
-1 -1
1 1
-1 -1
1 1
-1 -1
1 1
1 -1
-1 -1
1 1
1 -1
1 -1
1 1
-1 1
-1 -1
-1 -1
1 -1
-1 1
1 1
1 1
1 1
-1 -1
-1 -1
-1 -1
-1 1
1 -1
-1 1
-1 1
1 -1
1 1
1 1
-1 -1
1 -1
-1 -1
1 1
-1 1
1 1
1 -1
1 1
1 1
-1 -1
1 -1
-1 1
1 -1
1 -1
-1 1
1 1
-1 -1
-1 -1
-1 1
1 -1
1 1
-1 -1
1 -1
1 1
1 -1
-1 -1
-1 1
-1 -1
-1 -1
1 1
-1 -1
1 -1
-1 1
1 1
-1 -1
1 -1
1 1
1 -1
1 1
1 1
-1 1
1 -1
-1 -1
1 -1
-1 1
1 -1
-1 1
-1 1
1 -1
-1 -1
1 -1
1 1
-1 1
-1 -1
1 1
1 -1
-1 -1
-1 1
-1 -1
-1 1
