# basis_Q=x basis_A=z n_shots=2048
# q_outcome a_outcome
-1 1
1 -1
1 1
-1 -1
1 1
1 1
1 -1
-1 1
-1 1
-1 -1
1 1
1 -1
1 1
-1 1
-1 -1
-1 1
-1 1
1 -1
-1 -1
1 -1
1 1
1 -1
1 1
1 1
1 1
1 -1
-1 1
1 -1
1 -1
-1 -1
-1 1
-1 1
1 1
-1 -1
1 1
1 1
-1 -1
-1 1
-1 1
-1 1
-1 1
1 1
1 1
1 1
1 1
-1 -1
1 1
-1 1
-1 1
-1 1
1 -1
1 -1
-1 -1
-1 1
-1 1
-1 -1
-1 1
1 1
-1 1
1 1
-1 1
-1 -1
-1 1
1 -1
1 1
-1 -1
1 1
1 1
1 1
1 1
1 -1
-1 1
1 1
1 1
1 1
1 -1
1 1
-1 1
1 1
1 1
1 -1
1 -1
1 1
1 1
-1 -1
1 1
-1 1
1 -1
1 1
1 -1
-1 1
-1 -1
1 1
1 1
1 1
1 -1
-1 1
1 1
1 1
-1 -1
1 1
1 -1
-1 1
1 1
1 1
1 1
-1 -1
1 1
1 1
1 1
1 1
-1 1
1 1
-1 1
-1 1
-1 -1
1 1
-1 -1
-1 1
1 1
-1 1
-1 -1
1 1
-1 -1
1 -1
-1 1
-1 -1
1 -1
-1 1
1 1
-1 1
-1 1
1 1
1 -1
1 1
1 1
1 1
1 -1
1 1
1 1
-1 1
-1 1
-1 1
1 1
-1 -1
-1 1
1 1
1 1
-1 1
1 1
-1 1
-1 -1
1 1
1 1
-1 -1
-1 1
1 1
-1 -1
-1 -1
-1 1
-1 1
1 1
1 1
-1 1
1 1
-1 1
-1 1
1 1
-1 1
1 1
-1 -1
1 1
-1 1
-1 1
1 -1
-1 1
-1 1
-1 1
-1 1
-1 -1
1 -1
-1 1
1 1
-1 1
-1 1
1 -1
1 1
-1 -1
1 -1
-1 1
1 1
-1 -1
1 1
1 1
-1 -1
-1 -1
1 1
1 -1
-1 1
-1 -1
1 -1
-1 1
-1 1
-1 1
-1 1
-1 1
1 1
-1 -1
-1 -1
-1 1
1 1
1 1
-1 1
1 1
-1 -1
1 -1
-1 1
-1 -1
1 -1
1 1
-1 1
-1 1
1 -1
-1 1
-1 -1
1 -1
1 1
1 -1
1 -1
1 1
1 1
-1 1
1 1
-1 -1
1 1
1 1
-1 1
-1 -1
1 1
1 1
1 1
-1 1
1 -1
1 1
1 1
1 -1
-1 -1
-1 1
1 -1
1 1
1 1
1 1
-1 1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
1 1
1 1
1 1
-1 1
1 1
-1 -1
-1 1
-1 1
1 1
1 1
1 1
-1 -1
-1 1
-1 1
1 1
1 -1
1 -1
-1 1
-1 1
1 1
-1 -1
1 1
-1 -1
1 1
1 1
-1 -1
1 1
1 -1
1 -1
1 1
-1 1
-1 -1
-1 -1
1 1
-1 1
1 1
1 1
1 1
-1 -1
-1 -1
-1 1
-1 1
1 -1
-1 1
-1 1
1 -1
1 1
1 1
-1 -1
1 -1
-1 -1
1 1
-1 1
1 1
1 1
1 1
1 1
-1 -1
1 1
-1 1
1 -1
1 -1
-1 1
1 1
-1 -1
-1 1
-1 1
1 -1
1 1
-1 -1
1 -1
1 1
1 -1
-1 1
-1 1
-1 1
-1 1
1 1
-1 -1
1 -1
-1 1
1 1
-1 -1
1 1
1 1
1 -1
1 1
1 1
-1 1
1 -1
-1 -1
1 1
-1 1
1 -1
-1 1
-1 1
1 -1
-1 -1
1 -1
1 1
-1 1
-1 -1
1 1
1 -1
-1 -1
-1 1
-1 -1
-1 1
-1 1
1 1
-1 -1
1 -1
-1 1
1 -1
-1 1
-1 1
-1 1
-1 -1
1 -1
-1 1
1 -1
1 -1
1 -1
1 1
1 1
-1 1
-1 1
-1 1
1 1
1 1
1 1
-1 1
-1 -1
1 1
-1 1
1 1
1 1
1 1
1 1
-1 1
-1 -1
1 1
-1 1
-1 1
-1 -1
-1 1
1 1
-1 1
1 1
-1 -1
1 -1
-1 1
1 1
1 -1
-1 -1
-1 1
1 -1
-1 -1
-1 -1
1 1
-1 1
1 -1
-1 1
1 1
1 1
-1 -1
-1 -1
-1 -1
-1 -1
-1 1
-1 1
-1 1
1 -1
1 -1
1 1
-1 1
1 1
1 1
-1 1
1 -1
1 1
-1 1
-1 -1
1 1
1 1
1 1
-1 1
-1 1
1 1
-1 1
1 1
1 -1
-1 -1
1 1
1 1
1 -1
-1 1
-1 -1
-1 -1
1 1
1 1
-1 1
1 1
-1 -1
-1 1
1 1
-1 1
1 1
1 -1
-1 1
-1 1
-1 1
-1 1
-1 -1
-1 -1
-1 1
1 1
-1 1
-1 -1
1 1
1 -1
1 -1
1 1
-1 1
1 -1
-1 1
-1 1
-1 1
1 -1
1 1
-1 1
-1 1
1 -1
-1 -1
1 1
-1 -1
1 1
1 1
-1 1
1 1
1 1
1 1
1 -1
-1 1
1 1
-1 1
-1 1
1 1
1 1
-1 -1
-1 1
-1 1
-1 1
1 1
1 -1
-1 1
1 1
-1 1
-1 1
-1 1
1 -1
1 -1
1 1
1 1
-1 1
1 1
1 1
1 1
1 1
-1 1
1 -1
-1 -1
1 1
-1 1
1 -1
1 -1
-1 -1
-1 -1
-1 -1
1 1
1 1
-1 1
1 1
-1 1
-1 1
-1 1
-1 1
-1 1
1 1
1 1
-1 1
1 -1
1 1
1 -1
-1 1
-1 1
-1 1
1 -1
1 1
-1 1
1 1
-1 1
-1 1
1 1
1 1
1 1
-1 -1
-1 1
1 1
-1 -1
1 -1
1 -1
-1 -1
1 1
1 1
-1 1
1 1
-1 1
1 1
1 1
1 1
1 -1
1 1
1 1
-1 -1
1 1
1 -1
1 1
1 -1
1 1
-1 1
1 1
-1 -1
-1 -1
1 1
1 1
1 1
-1 1
1 1
-1 -1
-1 1
-1 1
-1 1
-1 -1
1 1
1 -1
1 1
-1 -1
-1 1
-1 1
1 1
-1 -1
1 -1
1 -1
-1 -1
1 -1
1 -1
-1 1
1 1
1 1
1 1
1 1
-1 -1
-1 1
1 -1
1 -1
1 -1
-1 1
-1 -1
-1 -1
1 -1
1 1
1 -1
-1 1
1 -1
-1 1
-1 1
1 1
1 -1
1 -1
1 1
1 1
-1 1
1 -1
1 1
-1 1
-1 1
1 1
-1 1
-1 -1
-1 1
-1 1
1 1
-1 -1
1 -1
-1 -1
-1 1
1 1
1 1
-1 1
-1 1
1 1
-1 1
-1 -1
1 -1
1 -1
1 1
-1 1
1 1
-1 -1
1 -1
-1 1
1 1
1 1
-1 1
1 -1
-1 1
-1 -1
-1 -1
-1 -1
1 1
-1 1
-1 -1
1 -1
1 1
-1 1
1 -1
-1 1
-1 -1
-1 1
1 -1
1 -1
1 -1
1 1
-1 1
-1 1
1 1
1 1
-1 -1
1 1
-1 1
1 -1
-1 1
1 1
-1 1
1 -1
-1 1
1 1
1 -1
-1 1
1 1
1 1
1 1
1 -1
1 1
-1 -1
1 -1
-1 1
-1 -1
1 1
-1 1
-1 -1
-1 1
1 -1
1 -1
1 1
-1 1
-1 -1
-1 -1
1 1
-1 1
1 1
-1 -1
1 1
-1 -1
-1 1
1 1
1 1
-1 1
1 1
-1 1
-1 -1
-1 1
1 -1
1 -1
1 1
-1 -1
1 1
1 1
1 1
-1 -1
1 1
-1 -1
-1 1
-1 1
-1 -1
-1 -1
-1 -1
1 1
-1 1
-1 1
-1 1
-1 -1
-1 -1
-1 1
1 -1
1 -1
1 -1
1 -1
1 -1
1 1
1 1
-1 1
1 -1
-1 -1
-1 1
1 1
1 1
1 1
-1 -1
1 1
-1 1
-1 -1
-1 -1
1 1
1 1
1 1
1 1
1 1
-1 1
-1 -1
-1 1
-1 1
1 1
-1 1
-1 1
-1 -1
-1 -1
1 -1
1 1
1 1
1 -1
-1 -1
1 -1
-1 1
-1 1
1 1
1 1
-1 1
-1 1
1 -1
1 1
-1 1
1 1
-1 -1
1 1
1 1
1 -1
-1 1
-1 1
1 -1
-1 -1
1 -1
1 -1
1 -1
1 1
-1 1
1 1
-1 1
1 1
-1 -1
1 -1
-1 -1
1 -1
1 1
-1 1
-1 1
-1 1
1 -1
-1 1
-1 -1
-1 1
1 -1
-1 1
-1 1
-1 -1
1 -1
1 -1
-1 1
-1 1
-1 1
1 -1
1 1
-1 1
1 1
1 1
-1 1
-1 1
-1 -1
1 1
1 1
-1 -1
1 1
1 1
1 1
-1 1
-1 -1
-1 1
-1 1
1 1
1 -1
1 -1
1 1
1 1
1 1
1 1
-1 1
-1 1
1 1
1 -1
-1 1
-1 1
-1 1
1 -1
-1 1
1 1
1 -1
1 1
1 -1
1 -1
1 1
-1 1
1 1
1 1
1 1
1 -1
1 1
1 -1
1 1
-1 1
-1 -1
1 -1
-1 1
-1 -1
-1 -1
-1 1
-1 -1
-1 -1
-1 1
1 -1
1 1
1 1
1 -1
1 -1
1 -1
-1 1
-1 1
-1 1
1 1
1 1
-1 1
-1 -1
-1 -1
-1 -1
-1 -1
1 1
1 -1
1 1
-1 1
-1 -1
1 -1
-1 1
1 1
1 1
1 1
1 1
-1 -1
1 -1
-1 1
-1 1
1 1
1 1
-1 1
1 1
-1 -1
1 1
-1 1
-1 1
1 1
1 1
-1 -1
1 1
1 -1
1 -1
1 1
-1 1
-1 1
1 -1
-1 1
1 1
1 1
-1 1
-1 -1
1 1
1 1
-1 1
-1 1
1 1
1 -1
-1 1
1 -1
1 1
1 1
1 -1
1 -1
-1 -1
-1 1
-1 1
-1 -1
1 -1
1 -1
-1 -1
1 1
-1 1
-1 1
1 1
1 -1
1 1
1 1
1 -1
1 1
-1 1
-1 -1
-1 1
1 1
1 1
1 1
1 1
-1 -1
1 -1
1 1
-1 -1
1 -1
1 1
1 1
-1 1
-1 1
1 1
-1 -1
-1 -1
-1 -1
1 1
1 1
-1 -1
1 1
-1 1
-1 1
1 1
-1 1
-1 -1
-1 1
1 -1
-1 -1
-1 1
-1 1
-1 1
-1 1
1 1
1 1
1 1
-1 1
-1 1
-1 1
1 -1
-1 1
-1 -1
1 1
-1 1
-1 1
-1 1
1 1
-1 1
-1 -1
-1 1
-1 -1
-1 -1
1 -1
-1 1
1 -1
-1 -1
1 1
1 -1
-1 -1
1 1
-1 1
1 -1
-1 -1
-1 -1
1 1
-1 1
1 1
-1 1
-1 1
-1 1
1 1
1 1
-1 1
-1 1
1 -1
1 1
1 -1
-1 -1
1 1
1 -1
-1 -1
1 1
-1 1
1 1
-1 -1
-1 1
-1 -1
1 1
-1 1
-1 1
1 1
1 1
1 1
-1 -1
-1 1
-1 1
-1 1
-1 1
1 -1
1 -1
-1 1
1 1
-1 -1
-1 1
1 -1
-1 1
1 1
-1 -1
-1 -1
-1 -1
1 1
1 1
1 1
1 1
1 1
1 1
-1 -1
1 1
1 1
-1 1
-1 1
-1 1
-1 1
-1 -1
-1 1
-1 1
-1 1
1 -1
1 -1
1 -1
1 1
-1 1
1 1
1 1
1 1
-1 -1
1 1
-1 1
-1 -1
1 1
-1 1
1 1
1 1
-1 1
-1 -1
1 1
-1 1
1 1
-1 1
-1 1
-1 1
-1 1
1 1
-1 1
-1 1
-1 1
1 1
1 -1
1 -1
1 1
1 1
1 -1
-1 1
1 1
-1 1
-1 1
-1 1
1 -1
1 -1
-1 1
-1 -1
1 -1
-1 1
-1 1
-1 1
1 1
-1 1
1 -1
-1 -1
1 -1
1 -1
-1 -1
1 -1
1 1
1 1
1 1
1 1
1 -1
-1 1
-1 1
1 1
-1 1
1 1
-1 -1
1 1
-1 1
1 1
-1 1
1 -1
-1 1
1 1
-1 -1
-1 1
-1 1
-1 -1
-1 -1
1 1
1 1
1 1
1 1
-1 1
-1 -1
-1 -1
-1 1
-1 1
-1 -1
-1 -1
1 1
-1 1
-1 1
1 1
1 -1
-1 -1
-1 -1
-1 -1
-1 1
1 1
1 1
-1 1
-1 1
-1 1
-1 1
1 -1
-1 1
1 1
1 1
1 1
1 1
-1 -1
1 -1
1 1
-1 1
-1 1
1 1
1 1
1 1
-1 1
1 1
1 1
1 1
-1 1
1 1
-1 -1
1 1
-1 1
1 -1
1 -1
1 1
-1 1
-1 -1
1 1
1 1
-1 -1
-1 1
1 1
1 1
-1 1
-1 1
-1 1
-1 -1
1 -1
1 1
1 -1
1 -1
1 1
1 1
1 -1
-1 1
1 1
1 -1
-1 1
-1 1
-1 1
-1 1
-1 1
1 1
1 -1
-1 1
1 1
1 1
1 1
1 -1
1 -1
1 1
-1 1
-1 -1
1 1
-1 -1
1 1
-1 -1
-1 -1
1 1
-1 1
-1 -1
-1 -1
-1 -1
-1 1
1 1
-1 -1
-1 1
-1 1
1 -1
-1 1
1 1
-1 1
1 1
-1 1
-1 -1
1 -1
-1 1
1 1
-1 -1
-1 1
1 -1
1 1
1 1
1 -1
-1 -1
-1 1
1 1
-1 -1
1 -1
-1 -1
1 1
-1 1
-1 -1
1 1
-1 1
-1 -1
1 1
1 1
-1 1
1 1
1 1
1 -1
-1 1
1 1
1 1
-1 -1
-1 1
-1 -1
1 -1
-1 -1
-1 1
1 1
-1 -1
1 -1
1 1
1 1
-1 1
1 1
1 1
1 1
1 -1
1 -1
-1 1
1 1
1 1
-1 1
1 -1
-1 1
1 1
1 1
1 1
1 -1
1 -1
-1 1
1 -1
-1 1
-1 1
1 1
-1 1
1 -1
1 -1
1 1
-1 1
-1 -1
1 1
-1 1
-1 1
1 1
-1 1
-1 1
-1 -1
-1 -1
1 1
1 -1
-1 1
