# basis_Q=y basis_A=z n_shots=128
# q_outcome a_outcome
-1 -1
1 -1
-1 -1
-1 1
1 1
-1 -1
-1 -1
-1 -1
1 1
1 -1
1 -1
-1 -1
-1 1
-1 -1
1 -1
1 1
-1 1
1 1
-1 -1
-1 1
-1 -1
1 -1
-1 -1
-1 -1
-1 -1
1 1
1 -1
1 1
1 1
-1 1
-1 1
-1 -1
1 -1
1 -1
1 -1
1 1
1 1
1 -1
1 1
-1 1
1 -1
-1 -1
-1 1
1 -1
-1 -1
-1 -1
1 -1
1 -1
-1 1
1 1
1 1
1 1
-1 -1
-1 1
-1 1
-1 -1
1 -1
-1 1
1 1
1 1
-1 1
1 -1
-1 1
-1 -1
-1 1
-1 1
-1 1
1 -1
1 1
1 -1
1 1
1 -1
-1 -1
1 1
1 1
1 -1
1 -1
-1 1
-1 1
-1 -1
-1 1
1 -1
-1 -1
1 1
1 1
1 1
-1 1
1 -1
1 1
-1 1
1 1
-1 1
1 -1
1 -1
1 -1
-1 1
1 -1
1 1
1 1
-1 -1
-1 -1
-1 1
1 -1
-1 -1
-1 -1
-1 1
1 -1
1 -1
1 1
-1 -1
1 -1
1 1
1 -1
-1 1
1 1
-1 -1
-1 -1
-1 1
1 -1
-1 1
-1 1
-1 1
1 1
1 -1
1 1
1 -1
1 -1
1 1
