# basis_Q=z basis_A=x n_shots=1024
# q_outcome a_outcome
1 1
1 -1
1 1
1 1
-1 1
-1 1
-1 -1
-1 -1
-1 1
-1 -1
1 1
1 1
-1 1
-1 -1
1 1
-1 1
-1 1
1 1
1 -1
-1 -1
-1 1
1 1
-1 -1
1 -1
-1 -1
1 -1
-1 1
1 -1
1 -1
-1 -1
1 1
1 1
1 -1
-1 1
-1 -1
-1 -1
1 -1
1 -1
1 1
-1 1
-1 -1
-1 1
-1 1
1 -1
-1 -1
1 -1
1 1
1 -1
1 1
1 1
1 1
1 -1
-1 1
1 -1
1 -1
-1 -1
-1 -1
-1 1
1 -1
-1 -1
1 1
1 -1
-1 -1
-1 1
-1 1
-1 1
-1 1
1 -1
1 1
1 -1
1 1
-1 -1
1 -1
-1 1
-1 -1
-1 -1
1 -1
1 -1
-1 -1
-1 1
-1 -1
-1 -1
-1 -1
1 1
-1 1
1 1
-1 1
-1 -1
-1 1
1 -1
1 1
-1 -1
1 1
1 1
1 1
1 1
1 -1
-1 1
1 -1
1 1
1 1
1 -1
1 1
-1 1
1 1
1 -1
1 -1
1 -1
1 1
1 1
-1 -1
1 1
-1 1
1 -1
1 -1
1 -1
-1 -1
-1 -1
1 -1
1 -1
1 1
1 -1
-1 1
1 1
1 -1
-1 -1
1 1
1 -1
-1 1
1 1
1 1
1 1
-1 -1
1 1
1 1
1 1
1 1
-1 1
1 1
-1 1
-1 1
-1 -1
1 1
-1 -1
-1 1
1 1
-1 -1
-1 -1
1 -1
-1 -1
1 -1
-1 1
-1 -1
1 -1
-1 -1
1 -1
-1 -1
-1 1
1 1
1 -1
1 -1
1 1
1 1
1 -1
1 1
1 1
-1 1
-1 1
-1 1
1 -1
-1 -1
-1 1
1 1
1 1
-1 1
1 1
-1 1
-1 -1
1 1
1 1
-1 -1
-1 1
1 1
-1 -1
-1 -1
-1 1
-1 1
1 -1
1 1
-1 1
1 -1
-1 1
-1 -1
1 1
-1 1
1 1
-1 -1
1 -1
-1 1
-1 1
1 -1
-1 1
-1 1
-1 1
-1 -1
-1 -1
1 -1
-1 1
1 1
-1 -1
-1 1
1 -1
1 1
-1 -1
1 -1
-1 1
1 1
-1 -1
1 1
1 1
-1 -1
-1 -1
1 1
1 -1
-1 1
-1 -1
1 -1
-1 1
-1 1
-1 1
-1 -1
-1 1
1 1
-1 -1
-1 -1
-1 -1
1 1
1 1
-1 1
1 1
-1 -1
1 -1
-1 1
-1 -1
1 -1
1 -1
-1 1
-1 1
1 -1
-1 1
-1 -1
1 -1
1 1
1 -1
1 -1
1 1
1 1
-1 1
1 -1
-1 -1
1 1
1 1
-1 -1
-1 -1
1 -1
1 1
1 1
-1 1
1 -1
1 -1
1 1
1 -1
-1 -1
-1 1
1 -1
1 1
1 -1
1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
1 1
1 1
1 -1
-1 1
1 1
-1 -1
-1 1
-1 1
1 1
1 -1
1 1
-1 -1
-1 1
-1 1
1 -1
1 -1
1 -1
-1 -1
-1 -1
1 1
-1 -1
1 1
-1 -1
1 1
1 -1
-1 -1
1 1
1 -1
1 -1
1 1
-1 1
-1 -1
-1 -1
1 -1
-1 1
1 1
1 1
1 1
-1 -1
-1 -1
-1 -1
-1 1
1 -1
-1 1
-1 1
1 -1
1 1
1 1
-1 -1
1 -1
-1 -1
1 1
-1 1
1 1
1 -1
1 1
1 1
-1 -1
1 -1
-1 1
1 -1
1 -1
-1 1
1 1
-1 -1
-1 -1
-1 1
1 -1
1 1
-1 -1
1 -1
1 1
1 -1
-1 -1
-1 1
-1 -1
-1 -1
1 1
-1 -1
1 -1
-1 1
1 1
-1 -1
1 -1
1 1
1 -1
1 1
1 1
-1 1
1 -1
-1 -1
1 -1
-1 1
1 -1
-1 1
-1 1
1 -1
-1 -1
1 -1
1 1
-1 1
-1 -1
1 1
1 -1
-1 -1
-1 1
-1 -1
-1 1
